,Year,Rk,Team,W,L,MOV,ORtg,DRtg,NRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,DRB%,FT/FGA,Won Championship,Rounds Played
62,1996,7.0,Indiana Pacers,52.0,30.0,3.24,110.8,107.2,3.6,0.389,0.157,0.56,0.509,15.5,33.0,69.3,0.294,0,1
63,1996,8.0,Cleveland Cavaliers,47.0,35.0,2.59,109.9,106.7,3.2,0.296,0.264,0.551,0.51,13.7,28.6,70.2,0.226,0,1
64,1996,9.0,Detroit Pistons,46.0,36.0,2.5,107.9,105.1,2.8,0.36,0.221,0.551,0.504,14.6,28.0,71.7,0.271,0,1
65,1996,10.0,Portland Trail Blazers,44.0,38.0,2.35,106.0,103.5,2.5,0.347,0.203,0.528,0.494,15.2,33.4,73.4,0.23,0,0
66,1996,11.0,New York Knicks,47.0,35.0,2.32,106.0,103.5,2.5,0.306,0.201,0.55,0.509,14.9,25.5,71.1,0.232,0,2
67,1996,12.0,Houston Rockets,48.0,34.0,1.74,109.3,107.4,1.9,0.317,0.265,0.555,0.512,14.1,26.9,68.6,0.243,0,2
68,1996,13.0,Miami Heat,42.0,40.0,1.43,105.3,103.8,1.5,0.345,0.23,0.541,0.501,16.0,30.1,71.8,0.245,0,1
69,1996,14.0,Atlanta Hawks,46.0,36.0,1.22,109.4,108.0,1.4,0.302,0.239,0.534,0.49,14.0,34.0,67.1,0.229,0,2
70,1996,15.0,Washington Bullets,39.0,43.0,1.06,108.7,107.6,1.1,0.314,0.183,0.558,0.521,15.0,28.2,67.8,0.228,0,0
71,1996,16.0,Phoenix Suns,41.0,41.0,0.33,110.3,110.0,0.3,0.37,0.147,0.551,0.498,13.5,29.8,71.4,0.286,0,1
72,1996,17.0,Charlotte Hornets,41.0,41.0,-0.57,111.2,111.8,-0.6,0.32,0.23,0.558,0.514,14.1,29.5,70.3,0.246,0,0
73,1996,18.0,Golden State Warriors,36.0,46.0,-1.45,108.4,109.9,-1.5,0.349,0.179,0.539,0.489,14.8,33.9,67.2,0.265,0,0
74,1996,19.0,Denver Nuggets,35.0,47.0,-2.71,105.2,108.1,-2.9,0.326,0.172,0.526,0.481,14.2,30.7,72.7,0.242,0,0
75,1996,20.0,Sacramento Kings,39.0,43.0,-2.71,106.2,109.1,-2.9,0.371,0.184,0.54,0.493,16.0,32.5,69.0,0.271,0,1
76,1996,21.0,Boston Celtics,33.0,49.0,-3.4,106.4,109.9,-3.5,0.329,0.209,0.534,0.494,14.1,28.8,70.0,0.235,0,0
77,1996,22.0,Los Angeles Clippers,29.0,53.0,-3.6,106.5,110.3,-3.8,0.3,0.208,0.544,0.511,15.3,29.3,67.9,0.21,0,0
78,1996,23.0,New Jersey Nets,30.0,52.0,-4.23,101.9,106.5,-4.6,0.332,0.111,0.497,0.445,15.1,36.4,70.9,0.248,0,0
79,1996,24.0,Dallas Mavericks,26.0,56.0,-4.9,106.1,111.2,-5.1,0.266,0.274,0.507,0.47,13.3,34.1,68.6,0.192,0,0
80,1996,25.0,Minnesota Timberwolves,26.0,56.0,-5.35,104.1,109.8,-5.7,0.357,0.132,0.535,0.48,16.0,29.8,68.7,0.277,0,0
81,1996,26.0,Milwaukee Bucks,25.0,57.0,-5.3,105.6,111.5,-5.9,0.295,0.163,0.534,0.495,15.0,29.7,68.4,0.218,0,0
82,1996,27.0,Toronto Raptors,21.0,61.0,-7.51,103.8,111.8,-8.0,0.296,0.177,0.536,0.499,17.2,32.0,66.8,0.214,0,0
83,1996,28.0,Philadelphia 76ers,18.0,64.0,-10.0,102.2,113.0,-10.8,0.353,0.224,0.522,0.474,16.0,29.4,65.0,0.259,0,0
84,1996,29.0,Vancouver Grizzlies,15.0,67.0,-9.98,97.6,108.5,-10.9,0.308,0.174,0.5,0.456,15.5,27.3,66.3,0.223,0,0
86,1997,1.0,Chicago Bulls,69.0,13.0,10.8,114.4,102.4,12.0,0.267,0.203,0.547,0.511,12.5,35.9,69.3,0.199,1,4
87,1997,2.0,Utah Jazz,64.0,18.0,8.79,113.6,104.0,9.6,0.389,0.145,0.581,0.53,14.7,29.7,71.6,0.299,0,4
88,1997,3.0,Seattle SuperSonics,57.0,25.0,7.68,111.2,102.7,8.5,0.358,0.247,0.557,0.51,14.2,30.9,69.1,0.269,0,2
89,1997,4.0,Atlanta Hawks,56.0,26.0,5.44,108.5,102.3,6.2,0.31,0.291,0.542,0.498,14.6,31.5,69.2,0.236,0,2
